provider_id,specialty,category,county,county_type,latitude,longitude,panel_capacity,accepting_new_patients,next_available_appt_days,telehealth_available
PRV-1001,Primary Care,Primary Care,Central Metro,Urban,40.01828,-85.0624,1273,True,8,True
PRV-1002,Primary Care,Primary Care,Central Metro,Urban,39.98103,-85.00101,2010,True,3,True
PRV-1003,Primary Care,Primary Care,Central Metro,Urban,40.02805,-85.05156,2037,True,6,True
PRV-1004,Primary Care,Primary Care,Central Metro,Urban,39.95914,-84.92665,1704,True,4,False
PRV-1005,Primary Care,Primary Care,Central Metro,Urban,40.02476,-84.97415,1966,True,3,False
PRV-1006,Primary Care,Primary Care,Central Metro,Urban,39.94959,-85.04947,1946,True,7,True
PRV-1007,Primary Care,Primary Care,Central Metro,Urban,40.007,-84.98688,1983,False,8,True
PRV-1008,Primary Care,Primary Care,Central Metro,Urban,40.03788,-85.08743,1627,True,4,False
PRV-1009,Primary Care,Primary Care,Central Metro,Urban,39.94805,-84.9419,1843,True,1,True
PRV-1010,Primary Care,Primary Care,Central Metro,Urban,40.0476,-85.02092,1748,True,4,False
PRV-1011,Primary Care,Primary Care,Central Metro,Urban,39.94483,-84.97017,1684,True,5,True
PRV-1012,Primary Care,Primary Care,Central Metro,Urban,39.98144,-84.97259,1696,True,3,True
PRV-1013,Primary Care,Primary Care,Central Metro,Urban,39.97184,-84.99925,1979,True,7,False
PRV-1014,Primary Care,Primary Care,Central Metro,Urban,39.99522,-85.10124,1530,True,1,True
PRV-1015,Primary Care,Primary Care,Central Metro,Urban,39.97731,-84.92205,1547,True,4,False
PRV-1016,Primary Care,Primary Care,Central Metro,Urban,39.97966,-84.94958,1864,True,1,True
PRV-1017,Primary Care,Primary Care,Central Metro,Urban,40.00433,-85.03177,2232,True,6,False
PRV-1018,Primary Care,Primary Care,Central Metro,Urban,40.01076,-84.9868,1896,True,10,True
PRV-1019,Primary Care,Primary Care,Central Metro,Urban,39.96161,-85.05559,1971,False,4,True
PRV-1020,Primary Care,Primary Care,Central Metro,Urban,39.93907,-84.98119,2586,True,8,True
PRV-1021,Primary Care,Primary Care,Central Metro,Urban,39.87208,-84.98394,1634,False,3,True
PRV-1022,Primary Care,Primary Care,Central Metro,Urban,40.00942,-85.00952,1668,True,2,True
PRV-1023,Primary Care,Primary Care,Central Metro,Urban,40.10608,-84.99218,1480,False,9,True
PRV-1024,Primary Care,Primary Care,Central Metro,Urban,40.12771,-85.04928,2051,True,8,True
PRV-1025,Primary Care,Primary Care,Central Metro,Urban,39.99755,-85.03929,1469,True,6,True
PRV-1026,Primary Care,Primary Care,Central Metro,Urban,40.09475,-84.9904,2152,True,5,True
PRV-1027,Primary Care,Primary Care,Central Metro,Urban,40.06638,-84.97427,1469,True,11,False
PRV-1028,Primary Care,Primary Care,Central Metro,Urban,40.10342,-85.01077,1501,True,4,True
PRV-1029,Primary Care,Primary Care,Central Metro,Urban,39.97632,-85.00031,2180,True,4,True
PRV-1030,Primary Care,Primary Care,Central Metro,Urban,39.87699,-85.00292,1562,True,3,True
PRV-1031,Primary Care,Primary Care,Central Metro,Urban,39.92042,-84.99816,2070,True,3,True
PRV-1032,Primary Care,Primary Care,Central Metro,Urban,39.99073,-85.04176,1847,True,4,False
PRV-1033,Primary Care,Primary Care,Central Metro,Urban,40.01369,-84.84895,1722,True,13,True
PRV-1034,Primary Care,Primary Care,Central Metro,Urban,40.01894,-84.92765,1220,True,3,True
PRV-1035,Primary Care,Primary Care,Central Metro,Urban,39.96823,-85.05261,1403,True,5,False
PRV-1036,Primary Care,Primary Care,Central Metro,Urban,39.93419,-84.88979,1700,True,20,True
PRV-1037,Primary Care,Primary Care,Central Metro,Urban,39.94079,-85.01472,1698,True,8,False
PRV-1038,Primary Care,Primary Care,Central Metro,Urban,39.98571,-85.01598,1927,True,6,False
PRV-1039,Primary Care,Primary Care,Central Metro,Urban,40.02111,-84.99681,1885,True,5,False
PRV-1040,Primary Care,Primary Care,Central Metro,Urban,40.12559,-84.9056,1499,True,6,False
PRV-1041,Primary Care,Primary Care,Central Metro,Urban,40.02881,-85.10468,1500,True,8,True
PRV-1042,Primary Care,Primary Care,Central Metro,Urban,40.00315,-85.01753,1841,True,5,True
PRV-1043,Primary Care,Primary Care,Central Metro,Urban,39.98579,-84.98941,1325,True,6,False
PRV-1044,Primary Care,Primary Care,Central Metro,Urban,39.90797,-84.94817,1515,True,4,True
PRV-1045,Primary Care,Primary Care,Central Metro,Urban,40.03496,-84.89606,2270,True,10,True
PRV-1046,Primary Care,Primary Care,Central Metro,Urban,39.98221,-84.99601,1481,True,3,True
PRV-1047,Primary Care,Primary Care,Central Metro,Urban,40.00422,-84.92973,1997,True,8,False
PRV-1048,Primary Care,Primary Care,Central Metro,Urban,39.92968,-85.0311,1611,True,11,False
PRV-1049,Primary Care,Primary Care,Central Metro,Urban,39.92701,-85.04027,1964,True,6,True
PRV-1050,Primary Care,Primary Care,Central Metro,Urban,40.00432,-84.97517,1640,True,12,False
PRV-1051,Primary Care,Primary Care,Central Metro,Urban,40.08856,-84.9779,2019,True,8,True
PRV-1052,Primary Care,Primary Care,Central Metro,Urban,40.01406,-84.98378,1758,True,3,True
PRV-1053,Primary Care,Primary Care,Central Metro,Urban,39.93649,-85.0075,1577,True,11,True
PRV-1054,Primary Care,Primary Care,Central Metro,Urban,40.00069,-84.92026,1949,True,8,True
PRV-1055,Primary Care,Primary Care,Central Metro,Urban,39.87979,-84.90374,2153,True,4,False
PRV-1056,OB/GYN,Primary Care,Central Metro,Urban,39.90392,-85.04765,1562,True,11,True
PRV-1057,OB/GYN,Primary Care,Central Metro,Urban,40.00326,-85.02831,1531,False,11,True
PRV-1058,OB/GYN,Primary Care,Central Metro,Urban,40.0318,-85.04228,1684,True,8,True
PRV-1059,OB/GYN,Primary Care,Central Metro,Urban,39.98405,-85.00705,1208,True,14,True
PRV-1060,OB/GYN,Primary Care,Central Metro,Urban,39.9593,-84.95503,1745,True,7,False
PRV-1061,OB/GYN,Primary Care,Central Metro,Urban,39.95383,-84.91878,1366,True,9,False
PRV-1062,OB/GYN,Primary Care,Central Metro,Urban,39.97852,-84.95178,1588,True,21,False
PRV-1063,OB/GYN,Primary Care,Central Metro,Urban,39.99213,-85.10985,1379,True,14,True
PRV-1064,OB/GYN,Primary Care,Central Metro,Urban,40.02567,-85.01135,1797,True,10,True
PRV-1065,OB/GYN,Primary Care,Central Metro,Urban,40.06403,-85.01989,1470,True,16,True
PRV-1066,OB/GYN,Primary Care,Central Metro,Urban,40.12462,-84.99584,1309,True,9,True
PRV-1067,OB/GYN,Primary Care,Central Metro,Urban,40.01883,-85.05,1248,False,2,False
PRV-1068,OB/GYN,Primary Care,Central Metro,Urban,40.11623,-84.93364,1408,True,4,True
PRV-1069,OB/GYN,Primary Care,Central Metro,Urban,40.03715,-85.02036,1501,True,15,True
PRV-1070,OB/GYN,Primary Care,Central Metro,Urban,40.08599,-84.99451,1461,True,12,False
PRV-1071,OB/GYN,Primary Care,Central Metro,Urban,39.94891,-84.96006,1435,True,16,False
PRV-1072,OB/GYN,Primary Care,Central Metro,Urban,40.05613,-85.10988,1163,True,7,False
PRV-1073,OB/GYN,Primary Care,Central Metro,Urban,39.95683,-85.09015,1374,True,28,True
PRV-1074,Behavioral Health,Behavioral,Central Metro,Urban,39.98216,-84.99403,946,True,11,False
PRV-1075,Behavioral Health,Behavioral,Central Metro,Urban,40.05387,-84.90226,1080,True,6,False
PRV-1076,Behavioral Health,Behavioral,Central Metro,Urban,39.97345,-84.9127,1111,True,13,False
PRV-1077,Behavioral Health,Behavioral,Central Metro,Urban,39.97309,-84.97286,827,True,4,True
PRV-1078,Behavioral Health,Behavioral,Central Metro,Urban,39.95281,-85.10119,875,True,7,True
PRV-1079,Behavioral Health,Behavioral,Central Metro,Urban,40.0122,-85.06051,951,True,18,True
PRV-1080,Behavioral Health,Behavioral,Central Metro,Urban,40.1221,-85.00523,760,True,10,True
PRV-1081,Behavioral Health,Behavioral,Central Metro,Urban,39.96917,-85.05333,906,True,12,False
PRV-1082,Behavioral Health,Behavioral,Central Metro,Urban,40.04436,-85.00958,925,True,8,False
PRV-1083,Behavioral Health,Behavioral,Central Metro,Urban,40.01572,-85.05398,1080,True,14,True
PRV-1084,Behavioral Health,Behavioral,Central Metro,Urban,40.02181,-85.1446,755,True,5,True
PRV-1085,Behavioral Health,Behavioral,Central Metro,Urban,39.9294,-85.05025,734,True,14,True
PRV-1086,Behavioral Health,Behavioral,Central Metro,Urban,39.90089,-85.07686,1009,True,9,True
PRV-1087,Behavioral Health,Behavioral,Central Metro,Urban,40.03092,-85.03465,814,True,24,True
PRV-1088,Behavioral Health,Behavioral,Central Metro,Urban,40.02689,-85.10114,931,True,16,True
PRV-1089,Behavioral Health,Behavioral,Central Metro,Urban,39.9516,-85.07696,817,True,18,True
PRV-1090,Behavioral Health,Behavioral,Central Metro,Urban,40.00193,-84.98387,827,True,8,True
PRV-1091,Behavioral Health,Behavioral,Central Metro,Urban,39.93756,-85.14477,845,True,28,False
PRV-1092,Behavioral Health,Behavioral,Central Metro,Urban,39.98283,-85.0114,970,True,5,True
PRV-1093,Behavioral Health,Behavioral,Central Metro,Urban,40.12316,-84.98968,983,True,10,True
PRV-1094,Behavioral Health,Behavioral,Central Metro,Urban,39.89616,-84.99014,876,True,9,False
PRV-1095,Behavioral Health,Behavioral,Central Metro,Urban,40.03524,-84.98084,1063,True,7,True
PRV-1096,Cardiology,Specialty,Central Metro,Urban,39.99895,-85.05415,892,True,8,True
PRV-1097,Cardiology,Specialty,Central Metro,Urban,39.96864,-85.15388,1071,True,16,False
PRV-1098,Cardiology,Specialty,Central Metro,Urban,40.02096,-84.85704,1169,True,13,True
PRV-1099,Cardiology,Specialty,Central Metro,Urban,40.0751,-85.03128,1342,True,8,True
PRV-1100,Cardiology,Specialty,Central Metro,Urban,39.97451,-84.98116,794,True,9,False
PRV-1101,Cardiology,Specialty,Central Metro,Urban,39.86078,-85.05782,1400,False,5,False
PRV-1102,Cardiology,Specialty,Central Metro,Urban,39.99658,-84.93705,1300,True,5,False
PRV-1103,Cardiology,Specialty,Central Metro,Urban,39.99918,-84.9579,1162,True,5,False
PRV-1104,Cardiology,Specialty,Central Metro,Urban,40.04114,-85.02106,1403,True,5,True
PRV-1105,Cardiology,Specialty,Central Metro,Urban,39.94463,-84.91233,994,True,12,True
PRV-1106,Cardiology,Specialty,Central Metro,Urban,40.0035,-84.96708,1228,True,9,False
PRV-1107,Cardiology,Specialty,Central Metro,Urban,39.90281,-85.13484,1016,True,18,False
PRV-1108,Cardiology,Specialty,Central Metro,Urban,40.05585,-84.89214,1039,True,14,True
PRV-1109,Cardiology,Specialty,Central Metro,Urban,39.9391,-84.87707,1034,True,26,True
PRV-1110,Cardiology,Specialty,Central Metro,Urban,40.02655,-84.92502,1314,False,15,False
PRV-1111,Cardiology,Specialty,Central Metro,Urban,40.00502,-85.03337,1511,True,4,True
PRV-1112,Endocrinology,Specialty,Central Metro,Urban,40.08104,-84.99928,1165,True,15,True
PRV-1113,Endocrinology,Specialty,Central Metro,Urban,39.99693,-85.00478,1101,True,33,True
PRV-1114,Endocrinology,Specialty,Central Metro,Urban,39.98783,-85.06495,893,True,12,True
PRV-1115,Endocrinology,Specialty,Central Metro,Urban,39.8928,-85.00736,1269,True,22,True
PRV-1116,Endocrinology,Specialty,Central Metro,Urban,39.93498,-84.97932,1281,True,16,True
PRV-1117,Endocrinology,Specialty,Central Metro,Urban,39.98085,-84.98697,1141,True,11,False
PRV-1118,Endocrinology,Specialty,Central Metro,Urban,40.01869,-85.02412,911,True,15,False
PRV-1119,Endocrinology,Specialty,Central Metro,Urban,39.93028,-85.127,1105,True,3,True
PRV-1120,Endocrinology,Specialty,Central Metro,Urban,39.83963,-84.97624,1037,True,30,True
PRV-1121,Oncology,Specialty,Central Metro,Urban,39.98042,-84.91435,1285,True,11,True
PRV-1122,Oncology,Specialty,Central Metro,Urban,39.9944,-84.99214,1127,True,5,True
PRV-1123,Oncology,Specialty,Central Metro,Urban,39.97829,-85.02939,1041,True,7,False
PRV-1124,Oncology,Specialty,Central Metro,Urban,40.0255,-85.11622,783,True,6,True
PRV-1125,Oncology,Specialty,Central Metro,Urban,39.95839,-84.95014,912,True,1,False
PRV-1126,Oncology,Specialty,Central Metro,Urban,39.93953,-84.95654,706,True,4,False
PRV-1127,Oncology,Specialty,Central Metro,Urban,39.99379,-85.00168,833,True,5,False
PRV-1128,Oncology,Specialty,Central Metro,Urban,40.01734,-84.9253,744,True,3,True
PRV-1129,Orthopedics,Specialty,Central Metro,Urban,39.9755,-84.99769,1168,True,6,False
PRV-1130,Orthopedics,Specialty,Central Metro,Urban,39.90786,-84.97662,1609,True,8,False
PRV-1131,Orthopedics,Specialty,Central Metro,Urban,39.98647,-85.07662,1153,True,8,False
PRV-1132,Orthopedics,Specialty,Central Metro,Urban,39.96267,-84.94076,1112,True,14,False
PRV-1133,Orthopedics,Specialty,Central Metro,Urban,39.88715,-85.01907,1188,True,4,True
PRV-1134,Orthopedics,Specialty,Central Metro,Urban,39.98982,-84.97517,1301,True,7,True
PRV-1135,Orthopedics,Specialty,Central Metro,Urban,40.09884,-84.98142,1282,False,11,False
PRV-1136,Orthopedics,Specialty,Central Metro,Urban,40.0127,-84.94682,1356,True,10,False
PRV-1137,Orthopedics,Specialty,Central Metro,Urban,39.82416,-84.97703,1073,False,10,False
PRV-1138,Orthopedics,Specialty,Central Metro,Urban,39.97096,-84.86542,1615,True,8,False
PRV-1139,Orthopedics,Specialty,Central Metro,Urban,39.99342,-85.00214,1155,True,3,False
PRV-1140,Orthopedics,Specialty,Central Metro,Urban,39.98303,-85.00637,1105,True,9,True
PRV-1141,Orthopedics,Specialty,Central Metro,Urban,39.97526,-85.08501,1001,True,10,True
PRV-1142,Orthopedics,Specialty,Central Metro,Urban,40.02246,-84.96208,1240,True,3,False
PRV-1143,Dermatology,Specialty,Central Metro,Urban,40.08876,-84.89234,1474,True,28,True
PRV-1144,Dermatology,Specialty,Central Metro,Urban,40.00785,-84.95057,1312,True,13,False
PRV-1145,Dermatology,Specialty,Central Metro,Urban,40.02041,-84.9598,1479,True,11,False
PRV-1146,Dermatology,Specialty,Central Metro,Urban,39.96996,-85.09931,1410,True,7,False
PRV-1147,Dermatology,Specialty,Central Metro,Urban,40.03718,-84.97961,1529,True,17,True
PRV-1148,Dermatology,Specialty,Central Metro,Urban,39.86919,-84.99784,1649,True,14,True
PRV-1149,Dermatology,Specialty,Central Metro,Urban,40.02911,-85.03168,1282,True,14,True
PRV-1150,Dermatology,Specialty,Central Metro,Urban,39.94271,-84.94157,1239,True,21,True
PRV-1151,Dermatology,Specialty,Central Metro,Urban,40.03256,-85.05734,1357,True,18,True
PRV-1152,Dermatology,Specialty,Central Metro,Urban,39.91736,-84.91168,1424,True,15,False
PRV-1153,Dermatology,Specialty,Central Metro,Urban,40.08724,-85.02739,1387,True,26,True
PRV-1154,Dermatology,Specialty,Central Metro,Urban,40.08671,-85.00464,1351,True,12,False
PRV-1155,General Surgery,Specialty,Central Metro,Urban,40.01361,-84.92086,1172,True,15,False
PRV-1156,General Surgery,Specialty,Central Metro,Urban,40.00662,-85.0245,1317,True,2,True
PRV-1157,General Surgery,Specialty,Central Metro,Urban,40.00051,-84.9523,1420,False,7,True
PRV-1158,General Surgery,Specialty,Central Metro,Urban,40.05842,-84.92548,1307,True,13,False
PRV-1159,General Surgery,Specialty,Central Metro,Urban,40.04204,-85.08135,1351,True,4,True
PRV-1160,General Surgery,Specialty,Central Metro,Urban,39.93087,-85.01443,1404,True,7,True
PRV-1161,General Surgery,Specialty,Central Metro,Urban,39.94068,-84.97298,1157,False,7,True
PRV-1162,General Surgery,Specialty,Central Metro,Urban,40.10628,-85.00591,1039,True,6,True
PRV-1163,General Surgery,Specialty,Central Metro,Urban,40.0829,-85.0099,1206,True,14,True
PRV-1164,General Surgery,Specialty,Central Metro,Urban,40.10313,-85.13918,1202,True,1,False
PRV-1165,Neurology,Specialty,Central Metro,Urban,39.97695,-84.93886,1144,True,28,True
PRV-1166,Neurology,Specialty,Central Metro,Urban,40.04187,-84.99336,632,True,16,False
PRV-1167,Neurology,Specialty,Central Metro,Urban,39.9782,-85.01528,870,True,5,True
PRV-1168,Neurology,Specialty,Central Metro,Urban,39.9753,-85.02181,982,True,7,True
PRV-1169,Neurology,Specialty,Central Metro,Urban,39.90399,-85.04572,1062,True,17,True
PRV-1170,Neurology,Specialty,Central Metro,Urban,39.95199,-84.96203,952,True,16,False
PRV-1171,Neurology,Specialty,Central Metro,Urban,39.99154,-84.90809,1112,True,27,True
PRV-1172,Primary Care,Primary Care,North Metro,Urban,40.10632,-84.97559,1442,True,11,False
PRV-1173,Primary Care,Primary Care,North Metro,Urban,40.17386,-84.95903,1562,True,3,False
PRV-1174,Primary Care,Primary Care,North Metro,Urban,40.23321,-84.94934,1084,True,4,False
PRV-1175,Primary Care,Primary Care,North Metro,Urban,40.04501,-84.99172,2148,True,10,True
PRV-1176,Primary Care,Primary Care,North Metro,Urban,40.12595,-84.88856,1951,True,8,False
PRV-1177,Primary Care,Primary Care,North Metro,Urban,40.11263,-84.99105,1586,True,5,False
PRV-1178,Primary Care,Primary Care,North Metro,Urban,40.21709,-84.82689,2254,True,10,False
PRV-1179,Primary Care,Primary Care,North Metro,Urban,40.18408,-84.94473,1378,True,1,True
PRV-1180,Primary Care,Primary Care,North Metro,Urban,40.13219,-84.90188,2009,True,3,False
PRV-1181,Primary Care,Primary Care,North Metro,Urban,40.15107,-84.86004,1679,True,5,False
PRV-1182,Primary Care,Primary Care,North Metro,Urban,40.12984,-84.88028,2214,True,7,False
PRV-1183,Primary Care,Primary Care,North Metro,Urban,40.20238,-84.95742,2237,True,5,False
PRV-1184,Primary Care,Primary Care,North Metro,Urban,40.25162,-85.05024,1816,True,1,False
PRV-1185,Primary Care,Primary Care,North Metro,Urban,40.17861,-84.79979,1681,True,8,True
PRV-1186,Primary Care,Primary Care,North Metro,Urban,40.19546,-84.86927,1487,True,1,True
PRV-1187,Primary Care,Primary Care,North Metro,Urban,40.05494,-84.88314,1130,True,8,False
PRV-1188,Primary Care,Primary Care,North Metro,Urban,40.01332,-84.94085,1617,True,2,False
PRV-1189,Primary Care,Primary Care,North Metro,Urban,40.29017,-84.93218,2121,True,6,True
PRV-1190,Primary Care,Primary Care,North Metro,Urban,40.17867,-85.01377,1879,True,6,False
PRV-1191,Primary Care,Primary Care,North Metro,Urban,40.22452,-85.03268,1872,True,2,True
PRV-1192,Primary Care,Primary Care,North Metro,Urban,40.20811,-84.88053,1584,True,19,False
PRV-1193,Primary Care,Primary Care,North Metro,Urban,40.1484,-84.98194,1602,True,16,True
PRV-1194,Primary Care,Primary Care,North Metro,Urban,40.16483,-84.88626,1994,True,2,False
PRV-1195,Primary Care,Primary Care,North Metro,Urban,40.15743,-84.95043,1697,False,4,True
PRV-1196,Primary Care,Primary Care,North Metro,Urban,40.23172,-84.94278,2158,True,6,True
PRV-1197,Primary Care,Primary Care,North Metro,Urban,40.08911,-84.87025,1793,True,6,True
PRV-1198,Primary Care,Primary Care,North Metro,Urban,40.19064,-84.90253,1025,True,11,False
PRV-1199,Primary Care,Primary Care,North Metro,Urban,40.07487,-84.91435,1890,True,10,True
PRV-1200,Primary Care,Primary Care,North Metro,Urban,40.26864,-84.95255,2302,True,6,True
PRV-1201,Primary Care,Primary Care,North Metro,Urban,40.21453,-85.00459,1744,False,10,False
PRV-1202,Primary Care,Primary Care,North Metro,Urban,40.22168,-84.90465,1938,True,7,True
PRV-1203,Primary Care,Primary Care,North Metro,Urban,40.08592,-84.84434,2401,True,10,True
PRV-1204,Primary Care,Primary Care,North Metro,Urban,40.18168,-84.93303,2178,True,4,True
PRV-1205,Primary Care,Primary Care,North Metro,Urban,40.22947,-84.86473,1726,True,7,False
PRV-1206,Primary Care,Primary Care,North Metro,Urban,40.08187,-84.90578,1001,True,5,True
PRV-1207,Primary Care,Primary Care,North Metro,Urban,40.14012,-84.89836,1761,False,2,True
PRV-1208,Primary Care,Primary Care,North Metro,Urban,40.27099,-84.93839,1937,True,3,True
PRV-1209,Primary Care,Primary Care,North Metro,Urban,40.26803,-84.92685,2282,True,16,True
PRV-1210,Primary Care,Primary Care,North Metro,Urban,40.13652,-84.97123,1810,True,6,True
PRV-1211,Primary Care,Primary Care,North Metro,Urban,40.09437,-85.02606,1796,True,5,True
PRV-1212,Primary Care,Primary Care,North Metro,Urban,40.17023,-84.79424,2260,True,1,True
PRV-1213,Primary Care,Primary Care,North Metro,Urban,40.18688,-84.9002,2037,True,8,False
PRV-1214,Primary Care,Primary Care,North Metro,Urban,40.19072,-84.95698,1510,False,5,True
PRV-1215,Primary Care,Primary Care,North Metro,Urban,40.19937,-84.98901,1647,True,7,False
PRV-1216,Primary Care,Primary Care,North Metro,Urban,40.19982,-84.9327,1788,True,7,False
PRV-1217,Primary Care,Primary Care,North Metro,Urban,40.18407,-84.88711,1345,True,8,True
PRV-1218,Primary Care,Primary Care,North Metro,Urban,40.25872,-84.93891,2091,False,4,False
PRV-1219,Primary Care,Primary Care,North Metro,Urban,40.05192,-84.88296,2064,True,7,False
PRV-1220,Primary Care,Primary Care,North Metro,Urban,40.12243,-84.87505,2026,True,11,False
PRV-1221,Primary Care,Primary Care,North Metro,Urban,40.26183,-84.9342,1948,True,1,False
