county,county_type,specialty,members_sampled,pct_distance_compliant,pct_wait_compliant,pct_fully_compliant,avg_nearest_distance,avg_nearest_wait
Cedar Ridge Cty,Rural,Behavioral Health,250,98.0,88.4,86.4,16.4,12.8
Cedar Ridge Cty,Rural,Cardiology,250,100.0,100.0,100.0,17.3,10.6
Cedar Ridge Cty,Rural,Dermatology,250,100.0,85.6,85.6,18.9,17.4
Cedar Ridge Cty,Rural,Endocrinology,250,99.6,99.6,99.2,28.4,18.9
Cedar Ridge Cty,Rural,General Surgery,250,97.6,100.0,97.6,26.7,7.4
Cedar Ridge Cty,Rural,Neurology,250,99.6,98.0,97.6,30.2,25.1
Cedar Ridge Cty,Rural,OB/GYN,250,98.8,41.2,41.2,14.5,22.0
Cedar Ridge Cty,Rural,Oncology,250,99.6,100.0,99.6,26.8,7.1
Cedar Ridge Cty,Rural,Orthopedics,250,99.6,99.2,98.8,24.0,13.3
Cedar Ridge Cty,Rural,Primary Care,250,97.2,82.4,80.4,10.2,9.7
Central Metro,Urban,Behavioral Health,250,100.0,43.6,43.6,1.6,12.1
Central Metro,Urban,Cardiology,250,100.0,84.4,84.4,1.8,10.2
Central Metro,Urban,Dermatology,250,100.0,82.4,82.4,1.9,16.4
Central Metro,Urban,Endocrinology,250,100.0,84.8,84.8,2.4,14.9
Central Metro,Urban,General Surgery,250,100.0,84.4,84.4,2.4,7.6
Central Metro,Urban,Neurology,250,100.0,75.2,75.2,2.5,16.4
Central Metro,Urban,OB/GYN,250,100.0,71.2,71.2,1.6,12.0
Central Metro,Urban,Oncology,250,100.0,92.4,92.4,2.8,5.2
Central Metro,Urban,Orthopedics,250,100.0,90.8,90.8,2.4,8.4
Central Metro,Urban,Primary Care,250,100.0,88.8,88.8,0.9,6.3
East Suburban,Suburban,Behavioral Health,250,100.0,44.8,44.8,4.0,12.6
East Suburban,Suburban,Cardiology,250,100.0,98.0,98.0,4.2,9.3
East Suburban,Suburban,Dermatology,250,100.0,88.4,88.4,4.6,15.4
East Suburban,Suburban,Endocrinology,250,100.0,78.8,78.8,5.2,15.8
East Suburban,Suburban,General Surgery,250,100.0,96.0,96.0,5.5,7.0
East Suburban,Suburban,Neurology,250,100.0,54.0,54.0,5.2,19.7
East Suburban,Suburban,OB/GYN,250,100.0,58.0,58.0,3.8,12.4
East Suburban,Suburban,Oncology,250,100.0,97.2,97.2,5.7,4.9
East Suburban,Suburban,Orthopedics,250,100.0,86.4,86.4,3.8,8.4
East Suburban,Suburban,Primary Care,250,99.6,82.4,82.0,2.1,6.9
Millbrook County,Rural,Behavioral Health,250,100.0,79.2,79.2,13.5,11.8
Millbrook County,Rural,Cardiology,250,100.0,94.0,94.0,17.7,10.4
Millbrook County,Rural,Dermatology,250,100.0,74.8,74.8,15.5,16.5
Millbrook County,Rural,Endocrinology,250,99.2,99.6,98.8,25.2,19.6
Millbrook County,Rural,General Surgery,250,100.0,100.0,100.0,15.7,7.4
Millbrook County,Rural,Neurology,250,99.6,22.8,22.8,27.6,46.3
Millbrook County,Rural,OB/GYN,250,99.2,41.2,41.2,13.8,21.6
Millbrook County,Rural,Oncology,250,99.6,100.0,99.6,24.5,3.6
Millbrook County,Rural,Orthopedics,250,99.6,99.6,99.2,19.3,8.3
Millbrook County,Rural,Primary Care,250,97.6,90.8,88.4,9.6,7.0
North Metro,Urban,Behavioral Health,250,100.0,40.4,40.4,1.9,14.3
North Metro,Urban,Cardiology,250,100.0,94.8,94.8,2.6,8.6
North Metro,Urban,Dermatology,250,100.0,75.6,75.6,2.4,16.4
North Metro,Urban,Endocrinology,250,100.0,86.8,86.8,2.7,13.3
North Metro,Urban,General Surgery,250,100.0,98.0,98.0,2.5,7.2
North Metro,Urban,Neurology,250,100.0,29.6,29.6,4.4,22.1
North Metro,Urban,OB/GYN,250,100.0,76.8,76.8,1.9,9.4
North Metro,Urban,Oncology,250,100.0,100.0,100.0,2.7,4.0
North Metro,Urban,Orthopedics,250,100.0,88.8,88.8,2.6,6.6
North Metro,Urban,Primary Care,250,100.0,94.0,94.0,1.4,5.8
Prairie County,Rural,Behavioral Health,250,97.6,90.4,88.4,17.0,11.5
Prairie County,Rural,Cardiology,250,98.8,92.8,91.6,22.8,5.8
Prairie County,Rural,Dermatology,250,100.0,98.8,98.8,22.2,11.7
Prairie County,Rural,Endocrinology,250,99.6,94.8,94.4,24.8,11.1
Prairie County,Rural,General Surgery,250,100.0,100.0,100.0,16.6,5.4
Prairie County,Rural,Neurology,250,100.0,43.2,43.2,23.1,26.2
Prairie County,Rural,OB/GYN,250,98.4,96.8,95.2,15.5,11.1
Prairie County,Rural,Oncology,250,100.0,100.0,100.0,25.5,5.3
Prairie County,Rural,Orthopedics,250,100.0,100.0,100.0,16.4,13.1
Prairie County,Rural,Primary Care,250,98.8,74.8,73.6,7.7,9.9
South Suburban,Suburban,Behavioral Health,250,100.0,36.4,36.4,2.8,14.2
South Suburban,Suburban,Cardiology,250,100.0,73.6,73.6,4.2,12.5
South Suburban,Suburban,Dermatology,250,100.0,83.6,83.6,4.1,14.4
South Suburban,Suburban,Endocrinology,250,100.0,72.0,72.0,4.1,18.0
South Suburban,Suburban,General Surgery,250,100.0,67.2,67.2,5.7,10.6
South Suburban,Suburban,Neurology,250,100.0,40.8,40.8,5.2,32.6
South Suburban,Suburban,OB/GYN,250,100.0,71.6,71.6,3.7,11.2
South Suburban,Suburban,Oncology,250,100.0,98.8,98.8,5.5,4.2
South Suburban,Suburban,Orthopedics,250,100.0,69.6,69.6,4.9,9.8
South Suburban,Suburban,Primary Care,250,100.0,80.4,80.4,2.0,7.2
West Suburban,Suburban,Behavioral Health,250,100.0,40.0,40.0,3.5,14.2
West Suburban,Suburban,Cardiology,250,100.0,45.6,45.6,5.3,14.9
West Suburban,Suburban,Dermatology,250,100.0,70.8,70.8,4.2,19.3
West Suburban,Suburban,Endocrinology,250,100.0,70.0,70.0,5.6,16.9
West Suburban,Suburban,General Surgery,250,100.0,71.2,71.2,4.9,8.4
West Suburban,Suburban,Neurology,250,100.0,19.2,19.2,6.2,32.6
West Suburban,Suburban,OB/GYN,250,100.0,78.4,78.4,4.2,11.2
West Suburban,Suburban,Oncology,250,100.0,99.6,99.6,5.7,5.7
West Suburban,Suburban,Orthopedics,250,100.0,58.8,58.8,6.2,14.2
